ds,yhat,yhat_lower,yhat_upper
2022-04-28,156.5700073,150.1199706,163.0200441
2022-04-29,163.6399994,157.1837556,170.0962432
2022-05-02,157.6499939,151.1897895,164.1101983
2022-05-03,157.9600067,151.5015059,164.4185075
2022-05-04,159.4799957,153.0228467,165.9371448
2022-05-05,166.0200043,159.5578115,172.4821971
2022-05-06,156.7700043,150.2960272,163.2439813
2022-05-09,157.2799988,150.8077052,163.7522924
2022-05-10,152.0599976,145.5851315,158.5348636
2022-05-11,154.5099945,148.0359011,160.9840879
2022-05-12,146.5,140.017537,152.982463
2022-05-13,142.5599976,136.0767323,149.0432628
2022-05-16,147.1100006,140.6252906,153.5947106
2022-05-17,145.5399933,139.0566125,152.023374
2022-05-18,149.2400055,142.7561428,155.7238682
2022-05-19,140.8200073,134.3268122,147.3132024
2022-05-20,137.3500061,130.856629,143.8433832
2022-05-23,137.5899963,131.0983438,144.0816489
2022-05-24,143.1100006,136.615304,149.6046972
2022-05-25,140.3600006,133.8658376,146.8541637
2022-05-26,140.5200043,134.0275489,147.0124597
2022-05-27,143.7799988,137.2875434,150.2724542
2022-05-31,149.6399994,143.1439583,156.1360405
2022-06-01,148.8399963,142.3455656,155.3344271
2022-06-02,148.7100067,142.2172817,155.2027317
2022-06-03,151.2100067,144.7180167,157.7019967
2022-06-06,145.3800049,138.8844368,151.8755729
2022-06-07,146.1399994,139.6460479,152.6339509
2022-06-08,148.7100067,142.2167345,155.203279
2022-06-09,147.9600067,141.4683505,154.4516629
2022-06-10,142.6399994,136.1456546,149.1343442
2022-06-13,137.1300049,130.6326565,143.6273533
2022-06-14,131.8800049,125.3800907,138.379919
2022-06-15,132.7599945,126.2616623,139.2583267
2022-06-16,135.4299927,128.9322584,141.927727
2022-06-17,130.0599976,123.5595045,136.5604906
2022-06-21,131.5599976,125.0608563,138.0591388
2022-06-22,135.8699951,129.3696836,142.3703066
2022-06-23,135.3500061,128.85135,141.8486622
2022-06-24,138.2700043,131.7718381,144.7681704
2022-06-27,141.6600037,135.1616293,148.158378
2022-06-28,141.6600037,135.1633455,148.1566618
2022-06-29,137.4400024,130.9422937,143.9377112
2022-06-30,139.2299957,132.7334858,145.7265056
2022-07-01,136.7200012,130.2242128,143.2157897
2022-07-05,138.9299927,132.4351427,145.4248426
2022-07-06,141.5599976,135.0657727,148.0542224
2022-07-07,142.9199982,136.4271766,149.4128197
2022-07-08,146.3500061,139.8570487,152.8429635
2022-07-11,147.0399933,140.5486628,153.5313237
