ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021. 6. 9 오전 12:00:00,129.6122724,124.448475,135.8907369,129.6122724,129.6122724,0.6663982501,0.6663982501,0.6663982501,2.360639145,2.360639145,2.360639145,0.1506695243,0.1506695243,0.1506695243,-1.84491042,-1.84491042,-1.84491042,0,0,0,130.2786707
2021. 6. 15 오전 12:00:00,130.2801521,126.0628358,136.6908344,130.2801521,130.2801521,1.102609659,1.102609659,1.102609659,2.360639145,2.360639145,2.360639145,0.1432797586,0.1432797586,0.1432797586,-1.401309245,-1.401309245,-1.401309245,0,0,0,131.3827617
2021. 6. 16 오전 12:00:00,130.3914654,126.45417,137.0751801,130.3914654,130.3914654,1.184794084,1.184794084,1.184794084,2.360639145,2.360639145,2.360639145,0.1506695243,0.1506695243,0.1506695243,-1.326514585,-1.326514585,-1.326514585,0,0,0,131.5762594
2021. 6. 18 오전 12:00:00,130.6140919,126.5600998,137.3027443,130.6140919,130.6140919,1.346649346,1.346649346,1.346649346,2.360639145,2.360639145,2.360639145,0.1317522295,0.1317522295,0.1317522295,-1.145742029,-1.145742029,-1.145742029,0,0,0,131.9607412
2021. 6. 22 오전 12:00:00,131.059345,127.6661209,138.409431,131.059345,131.059345,1.932807143,1.932807143,1.932807143,2.360639145,2.360639145,2.360639145,0.1432797586,0.1432797586,0.1432797586,-0.5711117611,-0.5711117611,-0.5711117611,0,0,0,132.9921521
2021. 6. 23 오전 12:00:00,131.1706583,127.7832005,138.4549743,131.1706583,131.1706583,2.142954342,2.142954342,2.142954342,2.360639145,2.360639145,2.360639145,0.1506695243,0.1506695243,0.1506695243,-0.3683543274,-0.3683543274,-0.3683543274,0,0,0,133.3136126
2021. 6. 25 오전 12:00:00,131.3932848,128.3870478,139.4076485,131.3932848,131.3932848,2.610917887,2.610917887,2.610917887,2.360639145,2.360639145,2.360639145,0.1317522295,0.1317522295,0.1317522295,0.1185265126,0.1185265126,0.1185265126,0,0,0,134.0042027
2021. 6. 29 오전 12:00:00,132.3679286,130.9679773,141.65067,132.3679286,132.3679286,3.919478206,3.919478206,3.919478206,2.360639145,2.360639145,2.360639145,0.1432797586,0.1432797586,0.1432797586,1.415559302,1.415559302,1.415559302,0,0,0,136.2874068
2021. 7. 2 오전 12:00:00,133.0989114,132.6613438,143.5781048,133.0989114,133.0989114,5.114174955,5.114174955,5.114174955,2.360639145,2.360639145,2.360639145,0.1317522295,0.1317522295,0.1317522295,2.62178358,2.62178358,2.62178358,0,0,0,138.2130864
2021. 7. 6 오전 12:00:00,134.0735552,135.6879286,146.1409926,134.0735552,134.0735552,6.879068599,6.879068599,6.879068599,2.360639145,2.360639145,2.360639145,0.1432797586,0.1432797586,0.1432797586,4.375149695,4.375149695,4.375149695,0,0,0,140.9526238
