ds,yhat,yhat_lower,yhat_upper,Close,model
2023-04-06,164.3595100217281,160.0434270085961,168.85534232374377,164.66000366210938,prophet
2023-04-10,165.49038949052584,161.1758348087445,169.98619117156744,162.02999877929688,prophet
2023-04-11,165.91300611106544,161.61605615400882,170.06118388292242,160.8000030517578,prophet
2023-04-12,166.07014082594156,161.78356746822936,170.55073803619717,160.10000610351562,prophet
2023-04-13,166.1172348563015,161.4031139674776,170.84521030001736,165.55999755859375,prophet
2023-04-14,166.51477974078958,162.30876717162485,171.2129075398673,165.2100067138672,prophet
2023-04-17,166.96761533574778,162.62763803561884,171.36525707970398,165.22999572753906,prophet
2023-04-18,167.32741291312686,163.08856749994672,171.8582087561299,166.47000122070312,prophet
2023-04-19,167.417015304851,162.94717002280873,171.8025267422609,167.6300048828125,prophet
2023-04-20,167.3907662564168,162.96753604664823,171.80608918854753,166.64999389648438,prophet
2023-04-21,167.92744628830238,163.66357464084942,172.15328949364854,165.02000427246094,prophet
2023-04-24,168.7345140956642,164.29486589364868,173.107454353138,165.3300018310547,prophet
2023-04-25,169.19387777628296,164.53881893317902,173.64473009436202,163.77000427246094,prophet
2023-04-26,169.3688627752625,165.05559057288687,174.15438403954295,163.75999450683594,prophet
2023-04-27,169.4162752008387,164.9191909496365,174.17212209437417,168.41000366210938,prophet
2023-04-28,169.80746366909594,165.33798952128848,174.14033901526392,169.67999267578125,prophet
2023-05-01,170.13794909139975,165.68079748479786,174.6356094983552,169.58999633789062,prophet
2023-05-02,170.44195077151522,165.9616041956771,174.99746841925722,168.5399932861328,prophet
2023-05-03,170.46244152307665,165.772557254561,174.9425663190256,167.4499969482422,prophet
2023-05-04,170.36232529334126,165.76860164520403,174.5302881406672,165.7899932861328,prophet
2023-05-05,170.62421613033214,166.13335600372085,175.00021810795693,173.57000732421875,prophet
2023-05-08,170.66251235596093,166.13468166617125,174.83706374746248,173.5,prophet
2023-05-09,170.91893652725548,166.45034075586153,175.34529160139516,171.77000427246094,prophet
2023-05-10,170.91478243041547,166.2030413600988,175.42154724862087,173.55999755859375,prophet
2023-05-11,170.81743823405472,166.53741451510362,175.4639331097464,173.75,prophet
2023-05-12,171.11857561919754,166.52294097381798,175.7672284993676,172.57000732421875,prophet
2023-05-15,171.45000594268737,166.87840918112087,175.92326169674317,172.07000732421875,prophet
2023-05-16,171.86857093530315,167.1369072312761,176.31248201690443,172.07000732421875,prophet
2023-05-17,172.050122133127,167.44419575277823,176.54320851874238,172.69000244140625,prophet
2023-05-18,172.1623219121153,167.99544884630416,176.79027778272948,175.0500030517578,prophet
2023-05-19,172.7017014342377,167.9524252668603,177.25419061829203,175.16000366210938,prophet
2023-05-22,173.83701584207725,169.1447629130513,178.14629215752018,174.1999969482422,prophet
2023-05-23,174.54753132236726,170.0899922443001,179.03028219626853,171.55999755859375,prophet
2023-05-24,175.01958996700512,170.62180335961895,179.08176334650787,171.83999633789062,prophet
2023-05-25,175.07552837677488,170.56304794514676,179.6103814531105,172.99000549316406,prophet
2023-05-26,175.55705883890644,171.083034175553,179.71398699120783,175.42999267578125,prophet
2023-05-30,178.775490370884,174.26782756107937,183.1699761505306,177.3000030517578,prophet
2023-05-31,177.3292693152914,172.6056229286765,181.75393674723335,177.25,prophet
2023-06-01,177.54896689656997,172.95122685613686,181.92066550341391,180.08999633789062,prophet
2023-06-02,178.16741198503144,173.7023612825729,182.54642938675127,180.9499969482422,prophet
2023-06-05,179.2781412200699,174.73805224399422,183.81777421079985,179.5800018310547,prophet
2023-06-06,179.8879663815415,175.38799365340822,184.29539908112508,179.2100067138672,prophet
2023-06-07,180.20793897417835,175.86509640506446,184.76232771313752,177.82000732421875,prophet
2023-06-08,180.4058652379659,175.7769199783821,185.01335824826236,180.57000732421875,prophet
2023-06-09,180.98314582765212,176.64220559814476,185.19746939429163,180.9600067138672,prophet
2023-06-12,181.87956546109322,177.06832465349405,186.26852293465578,183.7899932861328,prophet
2023-06-13,182.39979602985846,178.3588602846423,186.92906292131394,183.30999755859375,prophet
2023-06-14,182.62624754357904,178.22911038951676,186.97838303350943,183.9499969482422,prophet
2023-06-15,182.73044709425022,178.1855008154699,187.05695479131174,186.00999450683594,prophet
2023-06-16,183.2179119075216,178.69732345241616,187.5859933190873,184.9199981689453,prophet
2023-06-20,185.00738947373472,180.4964027814554,189.47761627031542,185.00999450683594,prophet
2023-06-21,184.55241580161356,180.06137625146732,189.201253903929,183.9600067138672,prophet
2023-06-22,184.63602313528497,180.1250162697112,189.04520058565095,187.0,prophet
2023-06-23,185.11944981504774,180.53918495168088,189.74692338962802,186.67999267578125,prophet
2023-06-26,185.87109942101435,181.34448632392932,190.08211076992464,185.27000427246094,prophet
2023-06-27,186.39414572703586,182.42162387382638,191.080270051255,188.05999755859375,prophet
2023-06-28,186.6472198225408,182.35327335003495,191.0826347604671,189.25,prophet
2023-06-29,186.80086216799324,182.46537371347284,191.18443125988705,189.58999633789062,prophet
2023-06-30,187.35987952610498,183.21592221838026,191.89110935572137,193.97000122070312,prophet
2023-07-03,192.4569567168493,187.99497885752046,196.68201650252522,192.4600067138672,prophet
2023-07-05,190.1387644813048,185.8335496578939,194.52876062381668,191.3300018310547,prophet
2023-07-06,189.4168053398121,185.09500395464798,194.40007925489508,191.80999755859375,prophet
2023-07-07,189.99587681494575,185.7816004957245,194.58439070530383,190.67999267578125,prophet
2023-07-10,190.89977479498174,186.38985508025954,195.6033097945365,188.61000061035156,prophet
2023-07-11,191.41273999530083,186.90543601710542,195.7502715864565,188.0800018310547,prophet
2023-07-12,191.61620054424705,186.91465279645257,195.97040942754862,189.77000427246094,prophet
2023-07-13,191.67748756077805,187.54221719323792,196.10464603216636,190.5399932861328,prophet
2023-07-14,192.1000323642966,187.3731890851594,196.91639885824168,190.69000244140625,prophet
2023-07-17,192.37225175658133,187.83997388110748,196.91974185902058,193.99000549316406,prophet
