ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2022-04-11,166.6691427767334,164.79153272446752,173.67664125425975,166.6691427767334,166.6691427767334,2.4538553854906615,2.4538553854906615,2.4538553854906615,0.011747368328192434,0.011747368328192434,0.011747368328192434,0.0,0.0,0.0,-0.026307164851620397,-0.026307164851620397,-0.026307164851620397,2.4684151820140894,2.4684151820140894,2.4684151820140894,0.0,0.0,0.0,169.12299816222406
2022-04-12,166.1933628839172,164.4161485052219,173.58904970930746,166.1933628839172,166.1933628839172,2.668881402436918,2.668881402436918,2.668881402436918,0.011747368328191718,0.011747368328191718,0.011747368328191718,0.0,0.0,0.0,0.0705278722737581,0.0705278722737581,0.0705278722737581,2.586606161834968,2.586606161834968,2.586606161834968,0.0,0.0,0.0,168.8622442863541
2022-04-13,165.71758299110098,163.95150598857185,173.42141837289867,165.71758299110098,165.71758299110098,2.7579213643965472,2.7579213643965472,2.7579213643965472,0.011747368328190962,0.011747368328190962,0.011747368328190962,0.0,0.0,0.0,0.054011703400714574,0.054011703400714574,0.054011703400714574,2.6921622926676414,2.6921622926676414,2.6921622926676414,0.0,0.0,0.0,168.47550435549752
2022-04-14,165.24180309828478,163.8127389587912,172.5853916334205,165.24180309828478,165.24180309828478,2.6981455302875057,2.6981455302875057,2.6981455302875057,0.011747368328191616,0.011747368328191616,0.011747368328191616,0.0,0.0,0.0,-0.09775296194822555,-0.09775296194822555,-0.09775296194822555,2.784151123907539,2.784151123907539,2.784151123907539,0.0,0.0,0.0,167.9399486285723
2022-04-18,163.33868352701992,161.78587672969792,170.9045480650441,163.33868352701992,163.33868352701992,2.975693918872233,2.975693918872233,2.975693918872233,0.011747368328192856,0.011747368328192856,0.011747368328192856,0.0,0.0,0.0,-0.026307164851508823,-0.026307164851508823,-0.026307164851508823,2.9902537153955486,2.9902537153955486,2.9902537153955486,0.0,0.0,0.0,166.31437744589215
2022-04-19,162.86290363420375,161.20423418118463,170.25318555439102,162.86290363420375,162.86290363420375,3.0759503360199028,3.0759503360199028,3.0759503360199028,0.01174736832819214,0.01174736832819214,0.01174736832819214,0.0,0.0,0.0,0.0705278722737428,0.0705278722737428,0.0705278722737428,2.9936750954179674,2.9936750954179674,2.9936750954179674,0.0,0.0,0.0,165.93885397022365
2022-04-20,162.38712371312877,160.6468481843679,170.23877286684134,162.38712371312877,162.38712371312877,3.0404905522049805,3.0404905522049805,3.0404905522049805,0.011747368328191383,0.011747368328191383,0.011747368328191383,0.0,0.0,0.0,0.054011703400475085,0.054011703400475085,0.054011703400475085,2.974731480476314,2.974731480476314,2.974731480476314,0.0,0.0,0.0,165.42761426533374
2022-04-21,161.91134379205377,160.18799299491138,169.3780667863108,161.91134379205377,161.91134379205377,2.8460231118659514,2.8460231118659514,2.8460231118659514,0.011747368328192035,0.011747368328192035,0.011747368328192035,0.0,0.0,0.0,-0.09775296194810282,-0.09775296194810282,-0.09775296194810282,2.932028705485862,2.932028705485862,2.932028705485862,0.0,0.0,0.0,164.75736690391972
2022-04-22,161.43556387097874,160.04520704313495,168.8365329829558,161.43556387097874,161.43556387097874,2.87858605810106,2.87858605810106,2.87858605810106,0.011747368328191319,0.011747368328191319,0.011747368328191319,0.0,0.0,0.0,0.002455032632734305,0.002455032632734305,0.002455032632734305,2.864383657140134,2.864383657140134,2.864383657140134,0.0,0.0,0.0,164.3141499290798
2022-04-25,160.00822410775382,158.03832432994608,166.89638439284218,160.00822410775382,160.00822410775382,2.489938693978077,2.489938693978077,2.489938693978077,0.011747368328191867,0.011747368328191867,0.011747368328191867,0.0,0.0,0.0,-0.026307164851397235,-0.026307164851397235,-0.026307164851397235,2.504498490501282,2.504498490501282,2.504498490501282,0.0,0.0,0.0,162.4981628017319
