ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,holidays,holidays_lower,holidays_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2023-02-28,154.3921746350193,144.85021410646468,153.53895459916166,154.3921746350193,154.3921746350193,0.0,0.0,0.0,-0.03528944043044979,-0.03528944043044979,-0.03528944043044979,0.0031903494159562854,0.0031903494159562854,0.0031903494159562854,-0.03847978984640608,-0.03847978984640608,-0.03847978984640608,0.0,0.0,0.0,148.9437611853092
2023-03-01,154.65702682586362,144.2002739865209,153.1374160231111,154.65702682586362,154.65702682586362,0.0,0.0,0.0,-0.039034531427632094,-0.039034531427632094,-0.039034531427632094,0.003160445316505508,0.003160445316505508,0.003160445316505508,-0.0421949767441376,-0.0421949767441376,-0.0421949767441376,0.0,0.0,0.0,148.6200622517253
2023-03-02,154.92187901670795,143.81686352974262,152.55852007198138,154.92187901670795,154.92187901670795,0.0,0.0,0.0,-0.043312395899449276,-0.043312395899449276,-0.043312395899449276,0.0021263399999959273,0.0021263399999959273,0.0021263399999959273,-0.04543873589944521,-0.04543873589944521,-0.04543873589944521,0.0,0.0,0.0,148.21184125924972
2023-03-03,155.1867312075523,143.79179660856568,152.46328253346485,155.1867312075523,155.1867312075523,0.0,0.0,0.0,-0.04555592435292615,-0.04555592435292615,-0.04555592435292615,0.0026241480891508857,0.0026241480891508857,0.0026241480891508857,-0.04818007244207704,-0.04818007244207704,-0.04818007244207704,0.0,0.0,0.0,148.11705622008316
2023-03-06,155.98128778008532,143.42020467389557,152.37635194895603,155.98128778008532,155.98128778008532,0.0,0.0,0.0,-0.05081105152030321,-0.05081105152030321,-0.05081105152030321,0.0023992437971930665,0.0023992437971930665,0.0023992437971930665,-0.05321029531749628,-0.05321029531749628,-0.05321029531749628,0.0,0.0,0.0,148.05571453048816
2023-03-07,156.24613997092965,143.56548328959605,152.52226691808343,156.24613997092965,156.24613997092965,0.0,0.0,0.0,-0.05061624766357191,-0.05061624766357191,-0.05061624766357191,0.0031903494159589204,0.0031903494159589204,0.0031903494159589204,-0.053806597079530824,-0.053806597079530824,-0.053806597079530824,0.0,0.0,0.0,148.33754665368394
2023-03-08,156.51099216177397,144.26519984372064,153.22061360896515,156.51099216177397,156.51099216177397,0.0,0.0,0.0,-0.05071560667546877,-0.05071560667546877,-0.05071560667546877,0.003160445316506591,0.003160445316506591,0.003160445316506591,-0.05387605199197536,-0.05387605199197536,-0.05387605199197536,0.0,0.0,0.0,148.57344224291006
2023-03-09,156.77584435261835,144.16164497823002,152.98691563249653,156.77584435261835,156.77584435261835,0.0,0.0,0.0,-0.05131225742249682,-0.05131225742249682,-0.05131225742249682,0.0021263400000009246,0.0021263400000009246,0.0021263400000009246,-0.05343859742249775,-0.05343859742249775,-0.05343859742249775,0.0,0.0,0.0,148.7313218695675
2023-03-10,157.04069654346267,144.73890678852635,153.85479339822882,157.04069654346267,157.04069654346267,0.0,0.0,0.0,-0.04989710894852589,-0.04989710894852589,-0.04989710894852589,0.0026241480891447976,0.0026241480891447976,0.0026241480891447976,-0.05252125703767069,-0.05252125703767069,-0.05252125703767069,0.0,0.0,0.0,149.20481979868114
2023-03-13,157.83525311599564,146.07551327596946,155.04468944193044,157.83525311599564,157.83525311599564,0.0,0.0,0.0,-0.04485006939573163,-0.04485006939573163,-0.04485006939573163,0.002399243797200353,0.002399243797200353,0.002399243797200353,-0.047249313192931984,-0.047249313192931984,-0.047249313192931984,0.0,0.0,0.0,150.75633106065035
2023-03-14,158.10010530683996,147.34579871016277,156.17912025744408,158.10010530683996,158.10010530683996,0.0,0.0,0.0,-0.04160464461869353,-0.04160464461869353,-0.04160464461869353,0.0031903494159562953,0.0031903494159562953,0.0031903494159562953,-0.04479499403464983,-0.04479499403464983,-0.04479499403464983,0.0,0.0,0.0,151.52240661137085
2023-03-15,158.3649574976843,147.4786506427439,156.62737997711926,158.3649574976843,158.3649574976843,0.0,0.0,0.0,-0.03891125116227454,-0.03891125116227454,-0.03891125116227454,0.003160445316505023,0.003160445316505023,0.003160445316505023,-0.04207169647877957,-0.04207169647877957,-0.04207169647877957,0.0,0.0,0.0,152.20277886118896
2023-03-16,158.62980968852867,148.3684926597422,157.39224950884383,158.62980968852867,158.62980968852867,0.0,0.0,0.0,-0.03700341465861815,-0.03700341465861815,-0.03700341465861815,0.0021263400000001804,0.0021263400000001804,0.0021263400000001804,-0.03912975465861833,-0.03912975465861833,-0.03912975465861833,0.0,0.0,0.0,152.75996506340636
2023-03-17,158.8066315459705,149.0411765258725,157.8194124753316,158.8066315459705,158.8066315459705,0.0,0.0,0.0,-0.0333956412759405,-0.0333956412759405,-0.0333956412759405,0.00262414808913871,0.00262414808913871,0.00262414808913871,-0.03601978936507921,-0.03601978936507921,-0.03601978936507921,0.0,0.0,0.0,153.5031822466208
2023-03-20,159.3370971182959,151.16252016657035,160.0239176515975,159.3370971182959,159.3370971182959,0.0,0.0,0.0,-0.023772581892008628,-0.023772581892008628,-0.023772581892008628,0.0023992437972157905,0.0023992437972157905,0.0023992437972157905,-0.02617182568922442,-0.02617182568922442,-0.02617182568922442,0.0,0.0,0.0,155.54924292861628
2023-03-21,159.51391897573774,151.7352592176518,160.56367350010902,159.51391897573774,159.51391897573774,0.0,0.0,0.0,-0.01967799834269072,-0.01967799834269072,-0.01967799834269072,0.0031903494159536716,0.0031903494159536716,0.0031903494159536716,-0.022868347758644395,-0.022868347758644395,-0.022868347758644395,0.0,0.0,0.0,156.37500434249708
2023-03-22,159.69074083317955,152.37212266061158,161.70805147218127,159.69074083317955,159.69074083317955,0.0,0.0,0.0,-0.016461596860501332,-0.016461596860501332,-0.016461596860501332,0.003160445316507777,0.003160445316507777,0.003160445316507777,-0.01962204217700911,-0.01962204217700911,-0.01962204217700911,0.0,0.0,0.0,157.06197623522894
2023-03-23,159.86756269062136,153.0124767664572,162.44904181981806,159.86756269062136,159.86756269062136,0.0,0.0,0.0,-0.014340870119874385,-0.014340870119874385,-0.014340870119874385,0.002126339999999437,0.002126339999999437,0.002126339999999437,-0.016467210119873822,-0.016467210119873822,-0.016467210119873822,0.0,0.0,0.0,157.57492273769427
2023-03-24,160.0443845480632,153.72704955638739,162.69971858612845,160.0443845480632,160.0443845480632,0.0,0.0,0.0,-0.010809249853822077,-0.010809249853822077,-0.010809249853822077,0.0026241480891391208,0.0026241480891391208,0.0026241480891391208,-0.013433397942961198,-0.013433397942961198,-0.013433397942961198,0.0,0.0,0.0,158.314424807782
2023-03-27,160.5748501203886,155.97649416943474,164.68722400730724,160.5748501203886,160.5748501203886,0.0,0.0,0.0,-0.002878857370075198,-0.002878857370075198,-0.002878857370075198,0.002399243797185014,0.002399243797185014,0.002399243797185014,-0.005278101167260212,-0.005278101167260212,-0.005278101167260212,0.0,0.0,0.0,160.1125780296708
2023-03-28,160.75167197783043,156.4298672872558,165.54021456276473,160.75167197783043,160.75167197783043,0.0,0.0,0.0,0.00026723724686171795,0.00026723724686171795,0.00026723724686171795,0.0031903494159510474,0.0031903494159510474,0.0031903494159510474,-0.0029231121690893296,-0.0029231121690893296,-0.0029231121690893296,0.0,0.0,0.0,160.7946308120782
2023-03-29,160.9284938352722,156.91471923797928,165.9183068858059,160.9284938352722,160.9284938352722,0.0,0.0,0.0,0.0023986844666475235,0.0023986844666475235,0.0023986844666475235,0.0031604453165062097,0.0031604453165062097,0.0031604453165062097,-0.0007617608498586862,-0.0007617608498586862,-0.0007617608498586862,0.0,0.0,0.0,161.31451051367586
2023-03-30,161.10531569271402,157.45688187714683,166.18742138440868,161.10531569271402,161.10531569271402,0.0,0.0,0.0,0.003331781080100336,0.003331781080100336,0.003331781080100336,0.00212633999999632,0.00212633999999632,0.00212633999999632,0.0012054410801040165,0.0012054410801040165,0.0012054410801040165,0.0,0.0,0.0,161.6420833354426
2023-03-31,161.28213755015585,157.3859178519617,167.0252015084755,161.28213755015585,161.28213755015585,0.0,0.0,0.0,0.005605953459177466,0.005605953459177466,0.005605953459177466,0.0026241480891265358,0.0026241480891265358,0.0026241480891265358,0.0029818053700509306,0.0029818053700509306,0.0029818053700509306,0.0,0.0,0.0,162.18627770705868
